Velocity,Alpha_deg,CL,CD,Cm,Oswald_efficiency
30,9,1.095390140988,0.088019754298,-0.127825525887,[0.986400319404685]
30,10,1.170999817338,0.099622640125,-0.140756985422,[0.9841959165619341]
30,11,1.246351224041,0.112004264733,-0.153865380941,[0.9818331442368121]
30,12,1.321534873205,0.125166355795,-0.167548445517,[0.979424296309618]
30,13,1.395710763504,0.138930685797,-0.180562821511,[0.977221802545743]
30,14,1.469602442212,0.153430176786,-0.19462797971,[0.9749864387020978]
35,-5,0.005842384493,0.00814137151,0.03553840073,[0.0039665477596802145]
35,-4,0.084524599053,0.00855302789,0.024637021206,[0.49952841958438443]
35,-3,0.163611917965,0.009795106848,0.012542662317,[0.8197528178339141]
35,-2,0.242260712001,0.011857104431,0.00146360596,[0.9246398672039474]
35,-1,0.321093749483,0.014750991937,-0.010293228947,[0.9638229906473866]
35,0,0.398922491207,0.018427743953,-0.019855460418,[0.9802573510591038]
35,1,0.477188869381,0.022946002748,-0.03092257866,[0.9875727255423163]
35,2,0.55538267308,0.028291466512,-0.042271940451,[0.9904126551025189]
35,3,0.634045421201,0.034506054812,-0.055585194691,[0.9910856869537149]
35,4,0.711951730522,0.041465294076,-0.067381057383,[0.9916990028830496]
35,5,0.789961039671,0.049301687077,-0.080246472972,[0.9903716049429233]
35,6,0.866709945402,0.057821161172,-0.091226795178,[0.989087285602915]
35,7,0.943290341368,0.067158791344,-0.103043971078,[0.9871079783249482]
35,8,1.020412447174,0.077264881818,-0.116136691529,[0.9868074745628246]
35,9,1.096279316278,0.087993375938,-0.12771237779,[0.986466804888522]
35,10,1.171948158939,0.099614429842,-0.140642037624,[0.9842662606972228]
35,11,1.247343092377,0.112013416228,-0.153712171103,[0.9819020622644855]
35,12,1.322586074658,0.125199507221,-0.167395588577,[0.9794646218497391]
35,13,1.396811986006,0.138981906462,-0.180397335705,[0.9772830646183084]
35,14,1.470749738295,0.153503312385,-0.194446922148,[0.9750385394859262]
40,-5,0.005864972906,0.008010632123,0.03554525919,[0.003990787617013273]
40,-4,0.084626996231,0.008423431909,0.024642436842,[0.4996414220979462]
40,-3,0.16378359649,0.009668153194,0.012560691708,[0.8196985731545032]
40,-2,0.242505921023,0.011734259342,0.001489188573,[0.9245977699869229]
40,-1,0.321419732987,0.014634136448,-0.010278525055,[0.9637948000292587]
40,0,0.399315505895,0.018317699715,-0.019815886638,[0.9802568253193954]
40,1,0.477655252567,0.022844566015,-0.030876494913,[0.9875905712165036]
40,2,0.555967087503,0.028203599793,-0.042337469422,[0.9904247824067998]
40,3,0.634658340794,0.034427315356,-0.055528694232,[0.9910910629659301]
40,4,0.71263687056,0.041397666703,-0.067318014299,[0.991780638897673]
40,5,0.790727474344,0.049251720082,-0.080203973071,[0.9903968449652384]
40,6,0.867535780454,0.057784409339,-0.0911495979,[0.9891537911713886]
40,7,0.944199898112,0.06715373761,-0.102988522291,[0.9869439108436685]
40,8,1.021375009262,0.077263272773,-0.116043246961,[0.986881681531693]
40,9,1.097324759419,0.08801549869,-0.127645000487,[0.9865135369226697]
40,10,1.173058487466,0.099657224506,-0.140569544661,[0.984319246606008]
40,11,1.248510457858,0.112076700403,-0.153614361843,[0.9819631557991194]
40,12,1.323827223475,0.125290386994,-0.167308887402,[0.9795047300787026]
40,13,1.398101861264,0.139093835063,-0.180274458212,[0.9773338568491848]
40,14,1.472104367572,0.153643000778,-0.194339116265,[0.975078734375729]
45,-5,0.005892276094,0.007898223669,0.035553783804,[0.00402032174761388]
45,-4,0.084739362412,0.008312303901,0.024659326392,[0.49972702810807557]
45,-3,0.163977621965,0.009560072923,0.012585461461,[0.8196133752150375]
45,-2,0.242784944397,0.011630888586,0.001519003614,[0.924536126923124]
45,-1,0.321786826834,0.014537439706,-0.010253187058,[0.9637510385837605]
45,0,0.399761263461,0.018228839917,-0.019770219314,[0.9802462391791349]
45,1,0.478183344274,0.022765348379,-0.030822355968,[0.9876068254091913]
45,2,0.556621055237,0.028139387392,-0.04238771316,[0.9904250975128139]
45,3,0.635351797174,0.03437375564,-0.055462706354,[0.9910921188010833]
45,4,0.713409675353,0.041356677696,-0.067243918217,[0.9918601453951298]
45,5,0.791564108971,0.049225005351,-0.080102496661,[0.9904872579129291]
45,6,0.868467474185,0.057781706556,-0.091054566489,[0.9891444007822157]
45,7,0.945225871738,0.067184824847,-0.102916825522,[0.9867230311370438]
45,8,1.022467902066,0.077298427405,-0.115945781142,[0.9869438205818235]
45,9,1.098501808096,0.088075591166,-0.127557798148,[0.9865547053509218]
45,10,1.174312843098,0.099740466695,-0.140488661947,[0.9843769144503759]
45,11,1.249823421415,0.112182707293,-0.15348755988,[0.9820233948133666]
45,12,1.325219775437,0.125426865359,-0.16719212016,[0.9795411418094687]
45,13,1.399572536088,0.139259767333,-0.180166000731,[0.977369556311803]
45,14,1.473634716451,0.153837242995,-0.194210324641,[0.9751085175248321]
